name,type,id,rarity,star,armor_type,nationality,oxy_max,s_durability,s_cannon,s_torpedo,s_antiaircraft,s_air,durability1,cannon1,torpedo1,antiaircraft1,air1,reload1,xxx1,hit1,dodge1,speed1,luck1,antisubmarine1,durability2,cannon2,torpedo2,antiaircraft2,air2,reload2,xxx2,hit2,dodge2,speed2,luck2,antisubmarine2,durability3,cannon3,torpedo3,antiaircraft3,air3,reload3,xxx3,hit3,dodge3,speed3,luck3,antisubmarine3,durability4,cannon4,torpedo4,antiaircraft4,air4,reload4,xxx4,hit4,dodge4,speed4,luck4,antisubmarine4,g_durability,g_cannon,g_torpedo,g_antiaircraft,g_air,g_reload,g_xxx,g_hit,g_dodge,g_speed,g_luck,g_antisubmarine,ge_durability,ge_cannon,ge_torpedo,ge_antiaircraft,ge_air,ge_reload,ge_xxx,ge_hit,ge_dodge,ge_speed,ge_luck,ge_antisubmarine
杜威,1,101021,3,2,1,1,0,14,51,0,0,52,265,14,52,34,0,69,0,63,60,44.4,72,45,330,17,65,42,0,69,0,63,60,44.4,72,56,459,24,90,59,0,69,0,63,60,44.4,72,78,654,34,129,85,0,69,0,63,60,44.4,72,112,6475,136,512,676,0,344,0,936,888,0,0,444,6475,322,1127,457,0,819,0,-549,-621,0,0,447
卡辛,1,101031,2,1,1,1,0,14,52,0,0,52,280,14,53,31,0,70,0,67,60,44.4,66,44,348,18,66,39,0,70,0,67,60,44.4,66,55,485,25,92,54,0,70,0,67,60,44.4,66,77,689,35,131,77,0,70,0,67,60,44.4,66,110,6820,140,520,616,0,348,0,984,888,0,0,440,6820,325,1136,412,0,822,0,-574,-621,0,0,445
唐斯,1,101041,2,1,1,1,0,14,52,0,0,52,280,14,53,31,0,70,0,67,60,44.4,63,44,348,18,66,39,0,70,0,67,60,44.4,63,55,485,25,92,54,0,70,0,67,60,44.4,63,77,689,35,131,77,0,70,0,67,60,44.4,63,110,6820,140,520,616,0,348,0,984,888,0,0,440,6820,325,1136,412,0,822,0,-574,-621,0,0,445
格里德利,1,101051,3,2,1,1,0,13,83,0,0,55,292,14,84,32,0,74,0,71,60,46.2,72,49,363,17,105,40,0,74,0,71,60,46.2,72,61,505,24,146,56,0,74,0,71,60,46.2,72,86,719,34,209,80,0,74,0,71,60,46.2,72,123,7115,134,830,636,0,366,0,1044,894,0,0,490,7115,316,1162,429,0,872,0,-609,-624,0,0,448
克雷文,1,101061,2,1,1,1,0,13,81,0,0,54,286,13,82,32,0,72,0,71,60,46.2,72,47,356,16,102,40,0,72,0,71,60,46.2,72,59,495,23,143,55,0,72,0,71,60,46.2,72,82,705,33,204,79,0,72,0,71,60,46.2,72,117,6975,132,814,624,0,360,0,1044,894,0,0,468,6975,311,1171,426,0,848,0,-609,-624,0,0,448
麦考尔,1,101071,2,1,1,1,0,13,81,0,0,54,278,13,82,32,0,72,0,71,60,43.8,69,47,346,16,102,40,0,72,0,71,60,43.8,69,59,481,23,143,55,0,72,0,71,60,43.8,69,82,685,33,204,79,0,72,0,71,60,43.8,69,117,6775,132,814,624,0,360,0,1044,888,0,0,468,6775,311,1171,426,0,848,0,-609,-621,0,0,448
莫里,1,101081,4,2,1,1,0,14,85,0,0,57,292,14,86,33,0,76,0,71,73,43.8,69,50,363,17,107,41,0,76,0,71,73,43.8,69,62,505,24,150,57,0,76,0,71,73,43.8,69,87,719,35,214,82,0,76,0,71,73,43.8,69,124,7110,138,854,652,0,378,0,1044,1080,0,0,492,7110,327,1142,443,0,897,0,-609,-733,0,0,448
弗莱彻,1,101091,3,2,1,1,0,16,52,0,0,54,338,16,53,32,0,72,0,69,60,43.2,73,51,420,20,66,40,0,72,0,69,60,43.2,73,64,585,28,92,56,0,72,0,69,60,43.2,73,89,832,39,131,79,0,72,0,69,60,43.2,73,126,8235,156,520,632,0,360,0,1020,882,0,0,502,7412,369,1136,426,0,848,0,-598,-665,0,0,446
查尔斯·奥斯本,1,101111,4,2,1,1,0,16,54,0,0,59,343,16,54,33,0,79,0,76,59,42,82,52,427,20,67,41,0,79,0,76,59,42,82,65,594,28,94,57,0,79,0,76,59,42,82,91,846,40,134,82,0,79,0,76,59,42,82,130,8375,160,536,648,0,392,0,1116,876,0,0,518,7538,373,1148,447,0,928,0,-651,-664,0,0,444
撒切尔,1,101121,3,2,1,1,0,16,52,0,0,57,331,16,53,32,0,77,0,72,59,42,65,51,412,20,66,40,0,77,0,72,59,42,65,64,573,28,92,56,0,77,0,72,59,42,65,89,816,39,131,79,0,77,0,72,59,42,65,126,8075,156,520,632,0,382,0,1068,876,0,0,502,7268,369,1136,426,0,901,0,-626,-664,0,0,446
奥利克,1,101131,2,1,1,1,0,15,51,0,0,56,325,15,52,32,0,75,0,72,59,42,62,50,404,19,65,40,0,75,0,72,59,42,62,62,563,26,90,55,0,75,0,72,59,42,62,87,800,38,129,79,0,75,0,72,59,42,62,124,7920,152,510,620,0,374,0,1068,876,0,0,492,7128,358,1129,430,0,886,0,-626,-664,0,0,448
富特,1,101141,2,1,1,1,0,15,51,0,0,54,325,15,52,32,0,72,0,72,59,42,67,50,404,19,65,40,0,72,0,72,59,42,67,62,563,26,90,55,0,72,0,72,59,42,67,87,800,38,129,79,0,72,0,72,59,42,67,124,7920,152,510,620,0,360,0,1068,876,0,0,492,7128,358,1129,430,0,848,0,-626,-664,0,0,448
